A Classic Education	http://www.aclassiceducation.com	http://musicbrainz.org/artist/00905dd6-3ac2-4abe-9839-56d8322d8aaa
Adventure	http://www.myspace.com/adventuresound	http://musicbrainz.org/artist/c179f904-b101-4f83-852d-973ad5577bf8
Afterhours	http://www.sonicbids.com/afterhoursitaly	http://musicbrainz.org/artist/70a709a1-8083-44c4-b61f-f7d10e1004d9
AIDS Wolf	http://www.aidswolf.net	http://musicbrainz.org/artist/03bf0d5a-0790-493e-b69f-57ec4b5977cf
The Airborne Toxic Event	http://theairbornetoxicevent.com	http://musicbrainz.org/artist/892fb2e4-0af4-42be-9e60-22898de51d32
Akron/Family	http://www.akronfamily.com/	http://musicbrainz.org/artist/0f11d99e-88ba-48d2-b652-4ebe04c52d11
Alash	http://www.sonicbids.com/Alash	http://musicbrainz.org/artist/d04b3d25-137f-4ad1-b045-dc3023945970
Alexandre Grooves	http://www.alexandregrooves.com.br	http://musicbrainz.org/artist/18c206bd-e199-44c7-a2af-1124005b0672
Alexisonfire	http://www.theonlybandever.com	http://musicbrainz.org/artist/bc1c8f3f-6f36-4086-a470-87ed813dd429
Dave Alvin	http://davealvin.net	http://musicbrainz.org/artist/306ebc54-d11c-4bf4-9f37-27adc37d00b4
Anathallo	http://www.anathallo.com	http://musicbrainz.org/artist/acd902c5-91df-4e1f-8dd6-7c4a348a4cb9
Ancestors	http://ancestorsmusic.com/	http://musicbrainz.org/artist/f44c8d1b-1465-4060-ac46-9994725b1c78
Amy Annelle	http://www.highplainssigh.com	http://musicbrainz.org/artist/a8039efc-dbf3-4bc9-9231-e595c0f699d0
Annihilation Time	http://www.annihilationtime.net/	http://musicbrainz.org/artist/5df360c8-b3c4-49c6-9b2e-9f68996b638d
Annuals	http://annualsmusic.com	http://musicbrainz.org/artist/c6156dc9-9e26-430d-adfb-55ca745f017f
The Answering Machine	http://www.sonicbids.com/TheAnsweringMachine	http://musicbrainz.org/artist/b4edc5ce-61de-4657-a714-b6f02b621eb1
Apollo Sunshine	http://www.apollosunshine.com	http://musicbrainz.org/artist/e3c5a219-8d32-4b10-ba45-31bfa677e821
Arms and Legs	http://www.sonicbids.com/armsandlegs	http://musicbrainz.org/artist/948306c9-610d-4235-ac8b-8f4472d48b03
Arms and Sleepers	http://www.myspace.com/armsandsleepers	http://musicbrainz.org/artist/d4dae588-8b66-4aa9-877f-04c604f552a8
The Asteroids Galaxy Tour	http://www.theasteroidsgalaxytour.com	http://musicbrainz.org/artist/4661d98a-95bd-4cf1-a693-4f9f25691ada
Asylum Street Spankers	http://www.asylumstreetspankers.com	http://musicbrainz.org/artist/be9f392d-0475-4c8a-a3b9-f4b476942b40
Pugs Atomz	http://www.sonicbids.com/Pugsatomz	http://musicbrainz.org/artist/2bdb21b5-304f-41d6-8bde-17cb079ba26e
Melissa Auf der Maur	http://xmadmx.com	http://musicbrainz.org/artist/0a87ad5f-728a-4a0f-b461-5ab84f63cd94
Au Revoir Simone	http://www.aurevoirsimone.com	http://musicbrainz.org/artist/e7ad821c-7168-4f98-8998-84e8a12de9e2
Autons	http://www.myspace.com/autons	http://musicbrainz.org/artist/94120c3c-21f7-4c6e-a9d6-ac5471c40053
Autozamm	http://www.autozamm.co.nz	http://musicbrainz.org/artist/39ae7fc2-8206-4dc6-b037-5474e7af585c
Back Door Slam	http://www.backdoorslam.com/home.htm	http://musicbrainz.org/artist/b7aa3a81-01f7-4603-905f-8de902528ba9
Backseat Goodbye	http://www.backseatgoodbye.com	http://musicbrainz.org/artist/5fc03b90-2a9c-40d6-8213-a528a3ea3bd4
Baddies	http://www.myspace.com/baddies	http://musicbrainz.org/artist/8321207f-3e9b-49bf-b0e7-90762236cc9f
Mike Badger	http://www.mikebadger.co.uk	http://musicbrainz.org/artist/2f338a80-cae4-40e8-a0f7-9b5468479e3a
Sam Baker	http://www.sambakermusic.com	http://musicbrainz.org/artist/50d49eaa-b3ac-46a6-a1fd-744bde32d8a3
Balmorhea	http://balmorheamusic.com/	http://musicbrainz.org/artist/1507b368-e660-4c15-af94-3f5603561045
The Band of Heathens	http://bandofheathens.com	http://musicbrainz.org/artist/913cd338-9439-4106-ab5f-76f98c48daee
Bang! Bang! Eche!	http://www.sonicbids.com/BangBangEche	http://musicbrainz.org/artist/c3e012da-9d2e-4868-b2d4-769ae7b9d088
The Baptist Generals	http://www.baptistgenerals.com	http://musicbrainz.org/artist/ac6a23e8-47e5-4f2a-8ab1-ae62871caeed
Barcelona	http://www.sonicbids.com/Barcelona	http://musicbrainz.org/artist/5f31d68e-de72-4dd3-a767-e99cf27a1267
Barn Owl	http://electrictotem.com/barnowl/	http://musicbrainz.org/artist/210f142b-35d7-4853-8dae-9a03f282bc74
Baskery	http://www.sonicbids.com/Baskery	http://musicbrainz.org/artist/99073b85-0177-477a-bbd6-45e6c89c7ceb
Beach House	http://www.beachhousemusic.net	http://musicbrainz.org/artist/d5cc67b8-1cc4-453b-96e8-44487acdebea
Bedouin Soundclash	http://www.bedouinsoundclash.com	http://musicbrainz.org/artist/e0036453-ce34-4095-af40-8c70ee07cef1
Beep Beep	http://www.ilovebeepbeep.com	http://musicbrainz.org/artist/52820efb-5497-4fc5-955f-9c8b63a3c83e
Kim Beggs	http://www.sonicbids.com/KimBeggs	http://musicbrainz.org/artist/09d4ef80-0c7e-4646-bc48-75f894e6d4ca
Belladonna	http://www.myspace.com/wwwbelladonnatv	http://musicbrainz.org/artist/e99bc456-ca8b-4d2d-80fa-e2eeb864b518
Chris Bell	http://www.chrisbell.net	http://musicbrainz.org/artist/db6ac2f7-5bbb-4ed4-88f4-540d5b29542a
Belong	http://www.myspace.com/belongmusic	http://musicbrainz.org/artist/367a400a-ae44-4917-9756-d4912013bfd7
The Besties	http://www.thebesties.com	http://musicbrainz.org/artist/2cc88ebd-a60e-4a50-af2c-016a8aed5d43
Jim Bianco	http://www.jimbianco.com	http://musicbrainz.org/artist/0cf9dcc6-ff7c-4aa6-a10a-39d2ab25a1db
Diane Birch	http://www.myspace.com/dianebirch	http://musicbrainz.org/artist/6d94f018-38ea-403c-9b42-1e94785e06b3
Andrew Bird	http://www.andrewbird.net	http://musicbrainz.org/artist/081b133e-ce74-42ba-92c1-c18234acb532
Birds of Wales	http://www.birdsofwales.com	http://musicbrainz.org/artist/101af762-26b7-4ff7-bb93-e9b7f2af7b50
Wallis Bird	http://www.wallisbird.com	http://musicbrainz.org/artist/33727278-a322-4389-b05e-bb55f348a960
Bisc1	http://www.busybisc1.com	http://musicbrainz.org/artist/2561ed45-c1d4-46ad-a30f-8c997bf0f453
Bishi	http://www.sonicbids.com/Bishi	http://musicbrainz.org/artist/2891a977-fe9f-4be0-b7f3-03e96fd83226
Bitter End	http://deathwishinc.com/bands/71	http://musicbrainz.org/artist/a29cc48a-fff5-423b-b5e6-dca4c8d879fe
Black Acid	http://www.myspace.com/officialblackacid	http://musicbrainz.org/artist/0071c5dc-3773-4b2c-9a9a-a8ba4dc77f6f
The Black Angels	http://www.theblackangels.com	http://musicbrainz.org/artist/49814f71-8fef-41ec-9af8-b6995c0bd601
Black Cherry	http://www.myspace.com/blackcherrymusic	http://musicbrainz.org/artist/fabd0a1e-d521-44cd-99e2-3eb8d0710238
Black Diamond Heavies	http://www.blackdiamondheavies.com	http://musicbrainz.org/artist/2c89050a-36cb-443e-9bd0-d7c855f7c717
